NCT ID	Raw CT.gov Conditions	First PMID	All MeSH Terms
NCT01336140	Patients With Severe Chronic Kidney Disease Being Evaluated With Nuclear Stress Testing of the Heart Using the Stress Agent Regadenoson	23224354	Adenosine A2 Receptor Agonists / adverse effects | Adult | Aged | Aminophylline / administration & dosage | Chi-Square Distribution | Chicago | Diarrhea / chemically induced | Double-Blind Method | Female | Humans | Infusions, Intravenous | Male | Middle Aged | Myocardial Ischemia / complications | Myocardial Perfusion Imaging / methods | Odds Ratio | Predictive Value of Tests | Purinergic P1 Receptor Antagonists / administration & dosage | Purines / adverse effects | Pyrazoles / adverse effects | Renal Insufficiency, Chronic / complications | Risk Factors | Severity of Illness Index | Tomography, Emission-Computed, Single-Photon | Treatment Outcome
NCT05766059	Stroke | Hemiparesis | Phantom Limb Pain	34302877	Humans | Nerve Net / physiology | Neuronal Plasticity / physiology | Sensorimotor Cortex / physiology | Transcranial Magnetic Stimulation | Transcutaneous Electric Nerve Stimulation
NCT05060497	Covid19	32444460	Adolescent | Adult | Age Factors | Aged | Aged, 80 and over | Betacoronavirus | COVID-19 | Child | Child, Preschool | Comorbidity | Coronavirus Infections / epidemiology | Critical Care | Female | Hospitalization | Humans | Infant | Infant, Newborn | Male | Middle Aged | Pandemics | Pneumonia, Viral / epidemiology | Prospective Studies | Respiration, Artificial | Risk Factors | SARS-CoV-2 | Sex Factors | United Kingdom / epidemiology | Young Adult
NCT03141359	Lung Cancer Stage II | Lung Cancer Stage III | Non Small Cell Lung Cancer	39615497	Humans | Carcinoma, Non-Small-Cell Lung / therapy | Male | Female | Lung Neoplasms / therapy | Middle Aged | Aged | Radiosurgery / adverse effects | Chemoradiotherapy | Immunotherapy / methods | Antineoplastic Combined Chemotherapy Protocols / therapeutic use | Adult | Progression-Free Survival | Neoplasm Staging | Carboplatin / administration & dosage | Aged, 80 and over | Antibodies, Monoclonal
NCT00943423	Lymphoma	40135712	Adult | Humans | Bias | Fluorodeoxyglucose F18 | Hodgkin Disease / diagnostic imaging | Positron-Emission Tomography / methods | Progression-Free Survival | Quality of Life | Radiopharmaceuticals | Randomized Controlled Trials as Topic
NCT00566722	Psoriasis	21414495	(no MeSH)
NCT05885620	Dementia | Dementia, Mixed | Dementia With Lewy Bodies | Alzheimer Disease | Mild Cognitive Impairment | Dementia, Vascular | Dementia Frontotemporal	38848116	Humans | Dementia / psychology | Male | Female | Aged | User-Centered Design | Smartphone | Self-Help Devices | Aged, 80 and over | Surveys and Questionnaires | Activities of Daily Living / psychology | Cognitive Dysfunction / psychology | Middle Aged | Mobile Applications
NCT05969990	Migraine in Children	36497053	Humans | Tryptophan / metabolism | Serotonin / metabolism | Kynurenine / metabolism | Kynurenic Acid | Migraine Disorders | Metabolic Networks and Pathways | Pain
NCT02810704	Venous Thrombosis | Pulmonary Embolism	31895235	Anticoagulants / therapeutic use | Arthroplasty, Replacement, Hip | Arthroplasty, Replacement, Knee | Aspirin / therapeutic use | Humans | Postoperative Complications / prevention & control | Selection Bias | Venous Thromboembolism / prevention & control
NCT01126125	Iodine Deficiency	24622750	Breast Feeding | Dietary Supplements / adverse effects | Double-Blind Method | Drug Administration Routes | Female | Humans | Infant | Infant, Newborn | Iodine / administration & dosage | Male | Milk, Human / chemistry | Morocco | Thyrotropin / metabolism | Thyroxine / metabolism
NCT02224755	Advanced Refractory Left Ventricular Heart Failure	27959709	Adult | Aged | Aged, 80 and over | Disease-Free Survival | Heart Failure / mortality | Heart-Assist Devices / adverse effects | Humans | Intention to Treat Analysis | Kaplan-Meier Estimate | Middle Aged | Prosthesis Design | Prosthesis Failure | Stroke / etiology | Thrombosis / etiology | Young Adult
NCT00776035	Obesity | Heart Failure	15474689	Fatty Acids, Nonesterified / blood | Heart Failure / drug therapy | Humans | Mitochondria / metabolism | Myocardial Contraction / physiology | Oxygen / metabolism | Quality of Life | Trimetazidine / therapeutic use | Vasodilator Agents / therapeutic use
NCT06453447	Distal Radius Fractures | Complex Regional Pain Syndromes	16814787	Adult | Age Distribution | Aged | Aged, 80 and over | Female | Fractures, Bone / epidemiology | Humans | Incidence | Male | Middle Aged | Osteoporosis / complications | Retrospective Studies | Risk Factors | Sex Distribution | United Kingdom / epidemiology
NCT03994393	EGFR Mutant Advanced Non Small Cell Lung Cancer	39877028	(no MeSH)
NCT00127998	Malaria	14506209	(no MeSH)
NCT04264481	Knee Osteoarthritis	23973124	Adult | Aged | Arthralgia / epidemiology | Chronic Pain / epidemiology | Disability Evaluation | Global Health | Humans | Osteoarthritis / epidemiology | Pain Management | Prevalence | Risk Factors | Socioeconomic Factors
NCT06658002	Fungal Keratitis | Corneal Ulcer	34483271	Corneal Ulcer / drug therapy | Cyclosporine / therapeutic use | Eye Infections, Fungal / microbiology | Female | Humans | Keratoplasty, Penetrating | Male | Ophthalmic Solutions | Retrospective Studies | Treatment Outcome | Visual Acuity
